category,sub_category,price,image_url,addr_pr,slug,store,name
BUREAUTIQUE,PAPIER,"12,000 DT",http://www.mytek.tn/31973-large_default/rame-papier-a4-80gr-gris-tunsie.jpg,http://www.mytek.tn/papier-a4/6173-rame-papier-a4-80gr-gris-tunsie.html,,My Teck,Rame Papier A4 80Gr Gris
GAMING,Périphériques Gamers,"35,000 DT",http://www.mytek.tn/36142-large_default/tapis-gamer-asus-cerberus.jpg,http://www.mytek.tn/tapis-de-souris-gamer/7490-tapis-gamer-asus-cerberus.html,,My Teck,Tapis Gamer ASUS Cerberus
INFORMATIQUE,Composants,"165,000 DT",http://www.mytek.tn/23504-large_default/disque-dur-externe-antichoc-25-ahd710-1to-jaune-tunsie.jpg,http://www.mytek.tn/disque-dur-externe-tunisie/3851-disque-dur-externe-antichoc-25-ahd710-1to-jaune-tunsie.html,,My Teck,"Disque Dur Externe Antichoc 2.5"" AHD710 1To Jaune"
ACCESSOIRES,Périphérique,"149,000 DT",http://www.mytek.tn/36204-large_default/souris-gamer-asus-rog-gladius.jpg,http://www.mytek.tn/souris-tapis/7518-souris-gamer-asus-rog-gladius.html,,My Teck,Souris Gamer ASUS ROG GLADIUS
INFORMATIQUE,Tablettes Tactiles,"309,000 DT",http://www.mytek.tn/42522-large_default/tablette-lenovo-tab3-7-4g-blanc.jpg,http://www.mytek.tn/tablettes-android-tunisie/9535-tablette-lenovo-tab3-7-4g-blanc.html,,My Teck,"Tablette LENOVO TAB3 7"" 4G Blanc"
BUREAUTIQUE,PAPIER,"12,000 DT",http://www.mytek.tn/31969-large_default/rame-papier-couleur-pastel-a4-tunsie.jpg,http://www.mytek.tn/papier-a4/6168-rame-papier-couleur-pastel-a4-tunsie.html,,My Teck,Rame Papier Couleur PASTEL A4
BUREAUTIQUE,PAPIER,"12,000 DT",http://www.mytek.tn/31978-large_default/rame-papier-a4-80gr-pistache-tunsie.jpg,http://www.mytek.tn/papier-a4/6177-rame-papier-a4-80gr-pistache-tunsie.html,,My Teck,Rame Papier A4 80Gr Pistache
BUREAUTIQUE,PAPIER,"12,900 DT",http://www.mytek.tn/31948-large_default/rame-papier-clariana-a4-80gr-vert-tunsie.jpg,http://www.mytek.tn/papier-a4/6165-rame-papier-clariana-a4-80gr-vert-tunsie.html,,My Teck,Rame Papier Clariana A4 80Gr Vert
BUREAUTIQUE,PAPIER,"12,900 DT",http://www.mytek.tn/31775-large_default/rame-papier-clariana-a4-80gr-bleu-tunsie.jpg,http://www.mytek.tn/papier-a4/6105-rame-papier-clariana-a4-80gr-bleu-tunsie.html,,My Teck,Rame Papier Clariana A4 80Gr Bleu
BUREAUTIQUE,PAPIER,"12,900 DT",http://www.mytek.tn/31945-large_default/rame-papier-clariana-a4-80gr-saumon-tunsie.jpg,http://www.mytek.tn/papier-a4/6161-rame-papier-clariana-a4-80gr-saumon-tunsie.html,,My Teck,Rame Papier Clariana A4 80Gr Saumon
BUREAUTIQUE,PAPIER,"12,900 DT",http://www.mytek.tn/31780-large_default/rame-papier-clariana-a4-80gr-jaune-canari-tunsie.jpg,http://www.mytek.tn/papier-a4/6108-rame-papier-clariana-a4-80gr-jaune-canari-tunsie.html,,My Teck,Rame Papier Clariana A4 80Gr Jaune Canari
BUREAUTIQUE,PAPIER,"12,900 DT",http://www.mytek.tn/31946-large_default/rame-papier-clariana-a4-80gr-or-tunsie.jpg,http://www.mytek.tn/papier-a4/6162-rame-papier-clariana-a4-80gr-or-tunsie.html,,My Teck,Rame Papier Clariana A4 80Gr Or
BUREAUTIQUE,PAPIER,"35,000 DT",http://www.mytek.tn/31759-large_default/papier-photo-a3-glossy-adhesif-135g-tunsie.jpg,http://www.mytek.tn/papier-a3/6098-papier-photo-a3-glossy-adhesif-135g-tunsie.html,,My Teck,PAPIER PHOTO A3 GLOSSY ADHESIF 135G
BUREAUTIQUE,PAPIER,"22,000 DT",http://www.mytek.tn/31744-large_default/rame-papier-pioneer-a3-110gr-tunsie.jpg,http://www.mytek.tn/papier-a3/6095-rame-papier-pioneer-a3-110gr-tunsie.html,,My Teck,Rame Papier PIONEER A3 110Gr
BUREAUTIQUE,PAPIER,"8,500 DT",http://www.mytek.tn/31742-large_default/rame-papier-pioneer-a4-90gr-tunsie.jpg,http://www.mytek.tn/papier-a4/6093-rame-papier-pioneer-a4-90gr-tunsie.html,,My Teck,Rame Papier PIONEER A4 90Gr
IMAGE & SON,Son Numérique,"14,000 DT",http://www.mytek.tn/43795-large_default/micro-casque-stereo-ovleng-v4.jpg,http://www.mytek.tn/casque-kit/9931-micro-casque-stereo-ovleng-v4.html,,My Teck,Micro Casque stéréo OVLENG V4
IMAGE & SON,Son Numérique,"14,000 DT",http://www.mytek.tn/43774-large_default/micro-casque-ovleng-v2.jpg,http://www.mytek.tn/casque-kit/9922-micro-casque-ovleng-v2.html,,My Teck,Micro Casque OVLENG V2
IMAGE & SON,Son Numérique,"8,000 DT",http://www.mytek.tn/43567-large_default/ecouteur-yison-s50-rouge.jpg,http://www.mytek.tn/casque-kit/9825-ecouteur-yison-s50-rouge.html,,My Teck,Ecouteur YISON S50 Rouge
IMAGE & SON,Son Numérique,"134,900 DT",http://www.mytek.tn/42955-large_default/oreillette-bluetooth-plantronics-blanc.jpg,http://www.mytek.tn/casque-kit/9632-oreillette-bluetooth-plantronics-blanc.html,,My Teck,OREILLETTE BLUETOOTH PLANTRONICS Blanc
IMAGE & SON,Son Numérique,"20,000 DT",http://www.mytek.tn/42182-large_default/casque-kp11-sans-fil-grey.jpg,http://www.mytek.tn/casque-kit/9482-casque-kp11-sans-fil-grey.html,,My Teck,Casque KP11 Sans fil GREY
BUREAUTIQUE,PAPIER,"12,000 DT",http://www.mytek.tn/31994-large_default/rame-papier-a4-80gr-bleu-ciel-tunsie.jpg,http://www.mytek.tn/papier-a4/6179-rame-papier-a4-80gr-bleu-ciel-tunsie.html,,My Teck,Rame Papier A4 80Gr Bleu Ciel
BUREAUTIQUE,BUREAUTIQUE,"14,500 DT",http://www.mytek.tn/19755-large_default/papier-extra-blanc-a3-80g-ocean-tunsie.jpg,http://www.mytek.tn/bureautique/3165-papier-extra-blanc-a3-80g-ocean-tunsie.html,,My Teck,PAPIER EXTRA BLANC A3 80G OCEAN
BUREAUTIQUE,PAPIER,"15,000 DT",http://www.mytek.tn/20182-large_default/etiquette-apli-r21904-70-x-25-mm-a4-33-tunsie.jpg,http://www.mytek.tn/rames-papier-a4-a3-tunisie/3195-etiquette-apli-r21904-70-x-25-mm-a4-33-tunsie.html,,My Teck,ETIQUETTE APLI R.21904 70 X 25 MM (A4/33)
IMPRESSION,Consommables,"28,900 DT",http://www.mytek.tn/20200-large_default/rame-du-papier-listing-2exp-ncr-1124-500-f-tunsie.jpg,http://www.mytek.tn/rames-papier-a4-a3-tunisie/3200-rame-du-papier-listing-2exp-ncr-1124-500-f-tunsie.html,,My Teck,RAME DU PAPIER LISTING 2EXP NCR 11*24 500 F
IMPRESSION,Consommables,"44,900 DT",http://www.mytek.tn/20196-large_default/rame-du-papier-listing-3exp-ncr-1124-500-f-tunsie.jpg,http://www.mytek.tn/rames-papier-a4-a3-tunisie/3197-rame-du-papier-listing-3exp-ncr-1124-500-f-tunsie.html,,My Teck,RAME DU PAPIER LISTING 3EXP NCR 11*24 500 F
IMPRESSION,Consommables,"14,000 DT",http://www.mytek.tn/32017-large_default/rame-papier-a4-80gr-rouge-tunsie.jpg,http://www.mytek.tn/rames-papier-a4-a3-tunisie/6182-rame-papier-a4-80gr-rouge-tunsie.html,,My Teck,Rame Papier A4 80Gr Rouge
BUREAUTIQUE,PAPIER,"15,000 DT",http://www.mytek.tn/21688-large_default/etiquette-apli-r21904-70-x-25-mm-a4-44-tunsie.jpg,http://www.mytek.tn/rames-papier-a4-a3-tunisie/3368-etiquette-apli-r21904-70-x-25-mm-a4-44-tunsie.html,,My Teck,ETIQUETTE APLI R.21904 70 X 25 MM (A4/44)
INFORMATIQUE,Tablettes Tactiles,"825,000 DT",http://www.mytek.tn/44922-large_default/tablette-samsung-galaxy-tab-a-2016-blanc-.jpg,http://www.mytek.tn/tablettes-android-tunisie/10062-tablette-samsung-galaxy-tab-a-2016-blanc-.html,,My Teck,Tablette Samsung Galaxy Tab A 2016 Blanc
BUREAUTIQUE,Fourniture de Bureau,"39,900 DT",http://www.mytek.tn/33667-large_default/calculatrice-canon-scientifique-f-789sga.jpg,http://www.mytek.tn/calculatrice/6682-calculatrice-canon-scientifique-f-789sga.html,,My Teck,Calculatrice Canon Scientifique F-789SGA
INFORMATIQUE,Tablettes Tactiles,"649,000 DT",http://www.mytek.tn/43972-large_default/tablette-lenovo-yt3-x50-4g-.jpg,http://www.mytek.tn/tablettes-android-tunisie/10018-tablette-lenovo-yt3-x50-4g-.html,,My Teck,"Tablette LENOVO YOGA TAB3 10"" - 4G"
INFORMATIQUE,Périphériques & Accessoires,"5,500 DT",http://www.mytek.tn/35634-large_default/souris-optique-usb-macro-km-555.jpg,http://www.mytek.tn/clavier-souris/7336-souris-optique-usb-macro-km-555.html,,My Teck,Souris Optique USB Macro KM-555-Blanc
INFORMATIQUE,Périphériques & Accessoires,"83,500 DT",http://www.mytek.tn/35198-large_default/souris-arc-microsoft-zja-00006-sans-fil.jpg,http://www.mytek.tn/clavier-souris/7219-souris-arc-microsoft-zja-00006-sans-fil.html,,My Teck,Souris Arc MICROSOFT ZJA-00006 Sans Fil
INFORMATIQUE,Périphériques & Accessoires,"16,900 DT",http://www.mytek.tn/34090-large_default/souris-gamer-vega-noir.jpg,http://www.mytek.tn/clavier-souris/6811-souris-gamer-vega-noir.html,,My Teck,Souris Gamer VEGA M-V009 NOIR
BUREAUTIQUE,BUREAUTIQUE,"15,000 DT",http://www.mytek.tn/20171-large_default/etiquette-apli-r21902-70-x-35-mm-a4-24-tunsie.jpg,http://www.mytek.tn/bureautique/3193-etiquette-apli-r21902-70-x-35-mm-a4-24-tunsie.html,,My Teck,ETIQUETTE APLI R.21902 70 X 35 MM (A4/24)
BUREAUTIQUE,BUREAUTIQUE,"15,000 DT",http://www.mytek.tn/20159-large_default/etiquette-apli-r21898-105-x-35-mm-a4-16-tunsie.jpg,http://www.mytek.tn/bureautique/3192-etiquette-apli-r21898-105-x-35-mm-a4-16-tunsie.html,,My Teck,ETIQUETTE APLI R.21898 105 X 35 MM (A4/16)
IMPRESSION,Consommables,"14,000 DT",http://www.mytek.tn/32073-large_default/rame-papier-a4-80gr-orange-tunsie.jpg,http://www.mytek.tn/rames-papier-a4-a3-tunisie/6195-rame-papier-a4-80gr-orange-tunsie.html,,My Teck,Rame Papier A4 80Gr Orange
INFORMATIQUE,Tablettes Tactiles,"199,000 DT",http://www.mytek.tn/43967-large_default/tablette-versus-rocket-7-4g-silver.jpg,http://www.mytek.tn/tablettes-android-tunisie/10017-tablette-versus-rocket-7-4g-silver.html,,My Teck,"Tablette VERSUS Rocket 7"" 4G - Silver"
INFORMATIQUE,Tablettes Tactiles,"549,000 DT",http://www.mytek.tn/43969-large_default/tablette-lenovo-tab-2-a10-30-4g-bleu-nuit-.jpg,http://www.mytek.tn/tablettes-android-tunisie/10016-tablette-lenovo-tab-2-a10-30-4g-bleu-nuit-.html,,My Teck,Tablette LENOVO TAB 2 A10-30 - 4G - Bleu Nuit
INFORMATIQUE,Tablettes Tactiles,"199,000 DT",http://www.mytek.tn/43968-large_default/tablette-versus-rocket-7-4g-gold.jpg,http://www.mytek.tn/tablettes-android-tunisie/10013-tablette-versus-rocket-7-4g-gold.html,,My Teck,"Tablette VERSUS Rocket 7"" 4G - Gold"
INFORMATIQUE,Tablettes Tactiles,"399,000 DT",http://www.mytek.tn/43963-large_default/tablette-lenovo-tab3-850m-4g-lte.jpg,http://www.mytek.tn/tablettes-android-tunisie/10011-tablette-lenovo-tab3-850m-4g-lte.html,,My Teck,Tablette LENOVO TAB3-850M - 4G (LTE)
INFORMATIQUE,Tablettes Tactiles,"428,000 DT",http://www.mytek.tn/43897-large_default/tablette-samsung-galaxy-tab-a-70-4g-2016-blanc.jpg,http://www.mytek.tn/tablettes-android-tunisie/9980-tablette-samsung-galaxy-tab-a-70-4g-2016-blanc.html,,My Teck,Tablette Samsung Galaxy Tab A 7.0 4G (2016) Blanc
INFORMATIQUE,Tablettes Tactiles,"825,000 DT",http://www.mytek.tn/44923-large_default/tablette-samsung-galaxy-tab-a-2016.jpg,http://www.mytek.tn/tablettes-android-tunisie/9584-tablette-samsung-galaxy-tab-a-2016.html,,My Teck,Tablette Samsung Galaxy Tab A 2016 Black
INFORMATIQUE,Tablettes Tactiles,"95,000 DT",http://www.mytek.tn/42510-large_default/tablette-axon-kidzy-70-7-wifi-vert.jpg,http://www.mytek.tn/tablettes-android-tunisie/9533-tablette-axon-kidzy-70-7-wifi-vert.html,,My Teck,"Tablette AXON Kidzy 70 7"" WiFi - Vert"
INFORMATIQUE,Tablettes Tactiles,"618,000 DT",http://www.mytek.tn/42235-large_default/phablette-lenovo-pb2-650m-64-gold-4g-.jpg,http://www.mytek.tn/tablettes-android-tunisie/9495-phablette-lenovo-pb2-650m-64-gold-4g-.html,,My Teck,"Phablette LENOVO PB2-650M 6.4 "" Gold 4G"
INFORMATIQUE,Tablettes Tactiles,"125,000 DT",http://www.mytek.tn/39731-large_default/smartphone-alcatel-8055-7-wifi.jpg,http://www.mytek.tn/tablettes-android-tunisie/8762-smartphone-alcatel-8055-7-wifi.html,,My Teck,"Tablette ALCATEL 8055 7"" Wifi Noir"
TELEPHONIE,Smartphone & Mobile,"974,000 DT",http://www.mytek.tn/42044-large_default/phablette-lenovo-pb2-670m-3go-32go-4g-za1c0024eg-gold.jpg,http://www.mytek.tn/smartphone-tunisie/9462-phablette-lenovo-pb2-670m-3go-32go-4g-za1c0024eg-gold.html,,My Teck,Phablette Lenovo PB2-670M 3Go 32Go 4G (ZA1C0024EG) Gold
INFORMATIQUE,Tablettes Tactiles,"169,000 DT",http://www.mytek.tn/41210-large_default/tablette-wexler-tab7-lte-4g-7-.jpg,http://www.mytek.tn/tablettes-android-tunisie/9234-tablette-wexler-tab7-lte-4g-7-.html,,My Teck,Tablette Wexler TAB7 7 pouce 4G
INFORMATIQUE,Tablettes Tactiles,"479,000 DT",http://www.mytek.tn/40171-large_default/tablette-alcatel-pop-10-4g.jpg,http://www.mytek.tn/tablettes-android-tunisie/8947-tablette-alcatel-pop-10-4g.html,,My Teck,Tablette ALCATEL P360X POP 10 - 4G
INFORMATIQUE,Tablettes Tactiles,"129,000 DT",http://www.mytek.tn/41211-large_default/tablette-wexler-7-3g.jpg,http://www.mytek.tn/tablettes-android-tunisie/9235-tablette-wexler-7-3g.html,,My Teck,Tablette Wexler 7 Pouce 3G Noir
ÉLECTROMENAGER,Préparation culinaire,"415,000 DT",http://www.mytek.tn/30434-large_default/batteur-sur-socle-sinbo-smx-2750-tunsie.jpg,http://www.mytek.tn/batteurs-tunisie/5604-batteur-sur-socle-sinbo-smx-2750-tunsie.html,,My Teck,Batteur sur Socle SINBO SMX-2750
INFORMATIQUE,Tablettes Tactiles,"189,000 DT",http://www.mytek.tn/39031-large_default/tablette-nextbook-8-qc-1g8g-wifi3g-gold.jpg,http://www.mytek.tn/tablettes-android-tunisie/8523-tablette-nextbook-8-qc-1g8g-wifi3g-gold.html,,My Teck,"Tablette NEXTBOOK 8"" Quad-Core - 3G"
INFORMATIQUE,Tablettes Tactiles,"618,000 DT",http://www.mytek.tn/39259-large_default/phablette-lenovo-pb2-650m-64-4g-.jpg,http://www.mytek.tn/tablettes-android-tunisie/8595-phablette-lenovo-pb2-650m-64-4g-.html,,My Teck,Phablette LENOVO PB2-650M Gris - 4G
TELEPHONIE,Smartphone & Mobile,"974,000 DT",http://www.mytek.tn/40505-large_default/phablette-lenovo-pb2-670m-64-4g.jpg,http://www.mytek.tn/smartphone-tunisie/8596-phablette-lenovo-pb2-670m-64-4g.html,,My Teck,Phablette Lenovo PB2-670M 3Go 32Go 4G (ZA1C0061EG) Gris
INFORMATIQUE,Tablettes Tactiles,"309,000 DT",http://www.mytek.tn/38626-large_default/tablette-lenovo-tab3-7-4g.jpg,http://www.mytek.tn/tablettes-android-tunisie/8396-tablette-lenovo-tab3-7-4g.html,,My Teck,"Tablette LENOVO TAB3 7"" 4G Noir"
INFORMATIQUE,Tablettes Tactiles,"95,000 DT",http://www.mytek.tn/38521-large_default/tablette-axon-kidzs-70-7-wifi.jpg,http://www.mytek.tn/tablettes-android-tunisie/8368-tablette-axon-kidzs-70-7-wifi.html,,My Teck,"Tablette AXON Kidzy 70 7"" WiFi - Rose"
INFORMATIQUE,Tablettes Tactiles,"189,000 DT",http://www.mytek.tn/38211-large_default/tablette-everpad-e7044-he-7-4g.jpg,http://www.mytek.tn/tablettes-android-tunisie/8235-tablette-everpad-e7044-he-7-4g.html,,My Teck,"Tablette EVERPAD E7044 HE 7"" 4G"
ACCESSOIRES,Accessoire Tablette,"19,000 DT",http://www.mytek.tn/23389-large_default/etui-de-protection-elite-7-tunsie.jpg,http://www.mytek.tn/etuis-tunisie/3817-etui-de-protection-elite-7-tunsie.html,,My Teck,"Etui de protection ELITE 7"""
INFORMATIQUE,Tablettes Tactiles,"428,000 DT",http://www.mytek.tn/44921-large_default/tablette-samsung-galaxy-a-70-4g-2016.jpg,http://www.mytek.tn/tablettes-android-tunisie/8125-tablette-samsung-galaxy-a-70-4g-2016.html,,My Teck,Tablette Samsung Galaxy Tab A 7.0 4G (2016) Noir
INFORMATIQUE,Tablettes Tactiles,"175,000 DT",http://www.mytek.tn/37549-large_default/tablette-smartek-beat-7-4g.jpg,http://www.mytek.tn/tablettes-tactiles-tunisie/8036-tablette-smartek-beat-7-4g.html,,My Teck,"Tablette SMARTEK BEAT 7"" 4G GREY"
TELEPHONIE,Accessoires Téléphonie,"32,900 DT",http://www.mytek.tn/43814-large_default/romoss-powerbank-sens-mini-php05-5000-mah-blanc.jpg,http://www.mytek.tn/power-bank/9943-romoss-powerbank-sens-mini-php05-5000-mah-blanc.html,,My Teck,Romoss PowerBank Sens Mini PHP05 5000 mAh - Blanc
INFORMATIQUE,Tablettes Tactiles,"95,000 DT",http://www.mytek.tn/42505-large_default/tablette-axon-kidzy-70-7-wifi-bleu.jpg,http://www.mytek.tn/tablettes-android-tunisie/9529-tablette-axon-kidzy-70-7-wifi-bleu.html,,My Teck,"Tablette AXON Kidzy 70 7"" WiFi - Bleu"
INFORMATIQUE,Tablettes Tactiles,"349,000 DT",http://www.mytek.tn/43520-large_default/tablette-huawei-mediapad-t2-70-4g-bgo-dl09-silver.jpg,http://www.mytek.tn/tablettes-android-tunisie/9804-tablette-huawei-mediapad-t2-70-4g-bgo-dl09-silver.html,,My Teck,"Tablette HUAWEI MediaPad T2 7.0"" - 4G (BGO-DL09) - Silver"
TELEPHONIE,Accessoires Téléphonie,"32,900 DT",http://www.mytek.tn/43824-large_default/romoss-powerbank-sens-mini-php05-5000-mah-noir.jpg,http://www.mytek.tn/power-bank/9946-romoss-powerbank-sens-mini-php05-5000-mah-noir.html,,My Teck,Romoss PowerBank Sens Mini PHP05 5000 mAh - Noir
ACCESSOIRES,Accessoire Tablette,"14,000 DT",http://www.mytek.tn/21792-large_default/port-etui-tulum-universel-pour-tablette-7-noir-tunsie.jpg,http://www.mytek.tn/etuis-tunisie/3390-port-etui-tulum-universel-pour-tablette-7-noir-tunsie.html,,My Teck,"Port etui tulum universel pour tablette 7"" noir"
TELEPHONIE,Accessoires Téléphonie,"14,900 DT",http://www.mytek.tn/43544-large_default/porte-cle-anti-perte-compatible-android-et-iphone-noir.jpg,http://www.mytek.tn/accessoires-telephonie/9814-porte-cle-anti-perte-compatible-android-et-iphone-noir.html,,My Teck,Porte clé anti perte compatible Android et iPhone Noir
INFORMATIQUE,Périphériques & Accessoires,"34,900 DT",http://www.mytek.tn/29017-large_default/aneex-ensemble-clavier-et-souris-sans-fil-24g-wkm1881-tunsie.jpg,http://www.mytek.tn/clavier-souris/4288-aneex-ensemble-clavier-et-souris-sans-fil-24g-wkm1881-tunsie.html,,My Teck,ANEEX Ensemble Clavier ET Souris sans fil 2.4G WKM1881
INFORMATIQUE,Périphériques & Accessoires,"25,000 DT",http://www.mytek.tn/31193-large_default/clavier-usb-dell-sk-8175-tunsie.jpg,http://www.mytek.tn/clavier-souris/5889-clavier-usb-dell-sk-8175-tunsie.html,,My Teck,Clavier USB DELL SK-8175
INFORMATIQUE,Périphériques & Accessoires,"6,500 DT",http://www.mytek.tn/38553-large_default/clavier-multimedia-macro-k60120.jpg,http://www.mytek.tn/clavier-souris/8377-clavier-multimedia-macro-k60120.html,,My Teck,Clavier Multimédia Macro K60120
INFORMATIQUE,Périphériques & Accessoires,"5,700 DT",http://www.mytek.tn/36965-large_default/-clavier-usb-simple-macro.jpg,http://www.mytek.tn/clavier-souris/7820--clavier-usb-simple-macro.html,,My Teck, Clavier USB Simple MACRO
INFORMATIQUE,Périphériques & Accessoires,"99,000 DT",http://www.mytek.tn/40526-large_default/wireless-touchpad-dell-tp713-580-18139.jpg,http://www.mytek.tn/clavier-souris/8972-wireless-touchpad-dell-tp713-580-18139.html,,My Teck,Wireless Touchpad Dell TP713 (580-18139)
INFORMATIQUE,Périphériques & Accessoires,"10,900 DT",http://www.mytek.tn/28903-large_default/ensemble-clavier-et-souris-usb-tech-com-910-tunsie.jpg,http://www.mytek.tn/clavier-souris/4338-ensemble-clavier-et-souris-usb-tech-com-910-tunsie.html,,My Teck,ENSEMBLE CLAVIER ET SOURIS USB TECH- COM 910
TELEPHONIE,Smartphone & Mobile,"749,000 DT",http://www.mytek.tn/44058-large_default/smartphone-huawei-gr5-2017-4g-noir.jpg,http://www.mytek.tn/smartphone-tunisie/9724-smartphone-huawei-gr5-2017-4g-noir.html,,My Teck,Smartphone HUAWEI GR5 2017 4G - GRIS
TELEPHONIE,Accessoires Téléphonie,"69,900 DT",http://www.mytek.tn/43848-large_default/romoss-powerbank-sense-6p-ph80-20000-mah-blanc.jpg,http://www.mytek.tn/power-bank/9960-romoss-powerbank-sense-6p-ph80-20000-mah-blanc.html,,My Teck,Romoss PowerBank Sense 6P PH80 20000 mAh - Blanc
TELEPHONIE,Accessoires Téléphonie,"44,900 DT",http://www.mytek.tn/43852-large_default/romoss-powerbank-sens-4-led-ph50-10400-mah-blanc.jpg,http://www.mytek.tn/power-bank/9954-romoss-powerbank-sens-4-led-ph50-10400-mah-blanc.html,,My Teck,Romoss PowerBank Sens 4 LED PH50 10400 mAh - Bleu
TELEPHONIE,Accessoires Téléphonie,"44,900 DT",http://www.mytek.tn/43851-large_default/romoss-powerbank-sens-4-led-ph50-10400-mah-blanc.jpg,http://www.mytek.tn/power-bank/9950-romoss-powerbank-sens-4-led-ph50-10400-mah-blanc.html,,My Teck,Romoss PowerBank Sens 4 LED PH50 10400 mAh - Blanc
TELEPHONIE,Accessoires Téléphonie,"32,900 DT",http://www.mytek.tn/43817-large_default/romoss-powerbank-sens-mini-php05-5000-mah-rose.jpg,http://www.mytek.tn/power-bank/9944-romoss-powerbank-sens-mini-php05-5000-mah-rose.html,,My Teck,Romoss PowerBank Sens Mini PHP05 5000 mAh - Rose
INFORMATIQUE,Périphériques & Accessoires,"4,300 DT",http://www.mytek.tn/39655-large_default/tapis-de-souris-gamer-silicone-.jpg,http://www.mytek.tn/clavier-souris/8744-tapis-de-souris-gamer-silicone-.html,,My Teck,Tapis De Souris GAMER Silicone
TELEPHONIE,Accessoires Téléphonie,"44,900 DT",http://www.mytek.tn/43839-large_default/romoss-powerbank-sens-4-led-ph50-10400-mah-rose.jpg,http://www.mytek.tn/power-bank/9953-romoss-powerbank-sens-4-led-ph50-10400-mah-rose.html,,My Teck,Romoss PowerBank Sens 4 LED PH50 10400 mAh - Rose
TELEPHONIE,Accessoires Téléphonie,"31,000 DT",http://www.mytek.tn/43532-large_default/romoss-powerbank-solo-3x-6000-mah-brown.jpg,http://www.mytek.tn/chargeur-tunisie/9811-romoss-powerbank-solo-3x-6000-mah-brown.html,,My Teck,Romoss PowerBank Solo 3X 6000 MAH - Brown
TELEPHONIE,Accessoires Téléphonie,"69,000 DT",http://www.mytek.tn/43064-large_default/power-bankchargeup-cygnett-6000-mah-jaune.jpg,http://www.mytek.tn/power-bank/9661-power-bankchargeup-cygnett-6000-mah-jaune.html,,My Teck,Power Bank|ChargeUP Cygnett 6000 mAh Jaune
TELEPHONIE,Accessoires Téléphonie,"69,000 DT",http://www.mytek.tn/43054-large_default/power-bankchargeup-cygnett-6000-mah-bleu.jpg,http://www.mytek.tn/power-bank/9660-power-bankchargeup-cygnett-6000-mah-bleu.html,,My Teck,Power Bank|ChargeUP Cygnett 6000 mAh Bleu
TELEPHONIE,Accessoires Téléphonie,"31,000 DT",http://www.mytek.tn/42851-large_default/romoss-powerbank-solo-3x-6000-mah-white.jpg,http://www.mytek.tn/chargeur-tunisie/9610-romoss-powerbank-solo-3x-6000-mah-white.html,,My Teck,Romoss PowerBank Solo 3X 6000 MAH -White
ACCESSOIRES,Supports de Stockage,"9,900 DT",http://www.mytek.tn/24553-large_default/carte-memoire-micro-sd-sandisk-8-go-avec-adaptateur-tunsie.jpg,http://www.mytek.tn/carte-memoire-tunisie/4152-carte-memoire-micro-sd-sandisk-8-go-avec-adaptateur-tunsie.html,,My Teck,Carte Mémoire Micro SD SANDISK 8 Go avec Adaptateur
ACCESSOIRES,Accessoire Tablette,"25,000 DT",http://www.mytek.tn/28303-large_default/etui-port-design-pour-tablette-8-sakura-dark-gris-tunsie.jpg,http://www.mytek.tn/accessoire-tablette-tactile-tunisie/4487-etui-port-design-pour-tablette-8-sakura-dark-gris-tunsie.html,,My Teck,"Etui Port Design Pour Tablette 8"" SAKURA DARK GRIS"
TELEPHONIE,Accessoires Téléphonie,"44,900 DT",http://www.mytek.tn/43845-large_default/romoss-powerbank-sense-4p-ph50-10400-mah-blanc.jpg,http://www.mytek.tn/power-bank/9959-romoss-powerbank-sense-4p-ph50-10400-mah-blanc.html,,My Teck,Romoss PowerBank Sense 4P PH50 10400 mAh - Blanc
INFORMATIQUE,Tablettes Tactiles,"349,000 DT",http://www.mytek.tn/41117-large_default/tablette-huawei-mediapad-t2-70-4g-bgo-dl09.jpg,http://www.mytek.tn/tablettes-android-tunisie/8949-tablette-huawei-mediapad-t2-70-4g-bgo-dl09.html,,My Teck,"Tablette HUAWEI MediaPad T2 7.0"" - 4G (BGO-DL09)"
TELEPHONIE,Accessoires Téléphonie,"12,900 DT",http://www.mytek.tn/39611-large_default/power-bank-2600mah.jpg,http://www.mytek.tn/power-bank/8734-power-bank-2600mah.html,,My Teck,Power bank 2600mAh
TELEPHONIE,Accessoires Téléphonie,"15,900 DT",http://www.mytek.tn/39300-large_default/power-bank-remax-2400-mah.jpg,http://www.mytek.tn/power-bank/8602-power-bank-remax-2400-mah.html,,My Teck,Power bank REMAX 2400mAh
TELEPHONIE,Accessoires Téléphonie,"35,000 DT",http://www.mytek.tn/39748-large_default/power-bank-pour-iphone-6-3500mah.jpg,http://www.mytek.tn/power-bank/8766-power-bank-pour-iphone-6-3500mah.html,,My Teck,Power Bank pour IPHONE 6 3500mAh
TELEPHONIE,Accessoires Téléphonie,"20,000 DT",http://www.mytek.tn/39750-large_default/power-bank-pour-iphone-55s-2200mah.jpg,http://www.mytek.tn/power-bank/8767-power-bank-pour-iphone-55s-2200mah.html,,My Teck,Power Bank Pour IPHONE 5/5S 2200mAh
