category,sub_category,price,image_url,addr_pr,slug,store,name
GAMING,Gaming PC,"2 999,000 DT",http://www.mytek.tn/38658-large_default/pc-portable-asus-rog-g752vt-i7-6e-gen-16go-1to128go-ssd.jpg,http://www.mytek.tn/pc-gamer-/8404-pc-portable-asus-rog-g752vt-i7-6e-gen-16go-1to128go-ssd.html,,My Teck,Pc Portable ASUS ROG G752VT I7 6é Gén 16Go 1TO+128GO SSD
IMPRESSION,IMPRESSION,"1,900 DT",http://www.mytek.tn/19616-large_default/bouteille-dencre-universelle-magenta-100ml-tunsie.jpg,http://www.mytek.tn/bouteille-d-encre-tunisie/2775-bouteille-dencre-universelle-magenta-100ml-tunsie.html,,My Teck,Bouteille D'encre Universelle MAGENTA 100ML
IMPRESSION,IMPRESSION,"1,900 DT",http://www.mytek.tn/19627-large_default/bouteille-dencre-universelle-cyan-100ml-tunsie.jpg,http://www.mytek.tn/bouteille-d-encre-tunisie/2773-bouteille-dencre-universelle-cyan-100ml-tunsie.html,,My Teck,Bouteille D'encre Universelle CYAN 100ML
IMPRESSION,IMPRESSION,"1,900 DT",http://www.mytek.tn/19624-large_default/bouteille-dencre-universelle-noir-100ml-tunsie.jpg,http://www.mytek.tn/bouteille-d-encre-tunisie/2774-bouteille-dencre-universelle-noir-100ml-tunsie.html,,My Teck,Bouteille D'encre Universelle NOIR 100ML
BUREAUTIQUE,Fourniture de Bureau,"139,000 DT",http://www.mytek.tn/44643-large_default/cisaille-a4-olympia-g3115.jpg,http://www.mytek.tn/cisaille/10430-cisaille-a4-olympia-g3115.html,,My Teck,Cisaille A4 OLYMPIA G3115
IMAGE & SON,Projection,"1 699,000 DT",http://www.mytek.tn/35532-large_default/video-projecteur-epson-eh-tw5350.jpg,http://www.mytek.tn/video-projecteurs-tunisie/7337-video-projecteur-epson-eh-tw5350.html,,My Teck,VidéoProjecteur EPSON EH-TW5350 Wifi - (V11H709040)
IMPRESSION,IMPRESSION,"1,900 DT",http://www.mytek.tn/22317-large_default/epson-cartouche-jet-dencre-714-jaune-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/3508-epson-cartouche-jet-dencre-714-jaune-tunsie.html,,My Teck,EPSON CARTOUCHE JET D'ENCRE 714 JAUNE
RESEAUX & SECURITE,Onduleurs,"279,000 DT",http://www.mytek.tn/33597-large_default/onduleur-eaton-in-line-usb-1100va-660w.jpg,http://www.mytek.tn/onduleur-in-line/6652-onduleur-eaton-in-line-usb-1100va-660w.html,,My Teck,Onduleur Eaton IN LINE USB 1100VA / 660W
IMPRESSION,Consommables,"36,000 DT",http://www.mytek.tn/44797-large_default/hp-toner-adaptable-125a-jaune-tunsie.jpg,http://www.mytek.tn/toner-imprimante-tunisie/3240-hp-toner-adaptable-125a-jaune-tunsie.html,,My Teck,HP TONER ADAPTABLE 125A JAUNE
INFORMATIQUE,Ordinateurs portables,"1 859,000 DT",http://www.mytek.tn/43994-large_default/pc-portable-asus-x756uw-i7-6e-gen-8go-1to.jpg,http://www.mytek.tn/pc-portable/10030-pc-portable-asus-x756uw-i7-6e-gen-8go-1to.html,,My Teck,Pc Portable ASUS X756UW I7 6è Gén 8Go 1To
GAMING,Gaming PC,"1 999,000 DT",http://www.mytek.tn/38097-large_default/pc-portable-hp-pavilion-15-bc003nf-i7-6e-gen-8go-1to-128-go-ssd.jpg,http://www.mytek.tn/pc-gamer-/8186-pc-portable-hp-pavilion-15-bc003nf-i7-6e-gen-8go-1to-128-go-ssd.html,,My Teck,Pc portable HP Pavilion 15-bc003nf i7 6è Gén 8Go 1To + 128 Go SSD
RESEAUX & SECURITE,Onduleurs,"2 889,000 DT",http://www.mytek.tn/34535-large_default/onduleur-on-line-eaton-9130-rm-3000va-rack-2u.jpg,http://www.mytek.tn/onduleur-on-line/6966-onduleur-on-line-eaton-9130-rm-3000va-rack-2u.html,,My Teck,Onduleur On-Line Eaton 9130 RM 3000VA Rack 2U
RESEAUX & SECURITE,Onduleurs,"1 949,000 DT",http://www.mytek.tn/34527-large_default/onduleur-on-line-eaton-9130-rm-2000va-rack-2u.jpg,http://www.mytek.tn/onduleur-on-line/6965-onduleur-on-line-eaton-9130-rm-2000va-rack-2u.html,,My Teck,Onduleur On-Line Eaton 9130 RM 2000VA Rack 2U
TELEPHONIE,Accessoires Téléphonie,"6,000 DT",http://www.mytek.tn/35029-large_default/coque-silicone-samsung-s7-edge.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/7159-coque-silicone-samsung-s7-edge.html,,My Teck,COQUE SILICONE SAMSUNG S7 EDGE
TELEPHONIE,Accessoires Téléphonie,"29,000 DT",http://www.mytek.tn/35031-large_default/flip-cover-metal-samsung-s7.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/7156-flip-cover-metal-samsung-s7.html,,My Teck,Flip Cover metal SAMSUNG S7
